,count
1,20131
2,7592
3,3820
4,2484
5,1589
6,1178
7,848
8,685
9,583
10,461
11,306
12,284
13,233
14,194
15,149
16,169
17,145
18,103
19,93
20,79
21,66
22,64
23,47
24,52
25,33
26,39
27,38
28,25
29,20
30,27
31,17
32,18
33,20
34,21
35,17
36,8
37,8
38,14
39,6
40,11
41,10
42,5
43,9
44,6
45,1
46,2
47,3
48,1
49,1
50,4
51,1
52,3
53,2
54,2
55,3
56,2
57,2
58,2
59,1
61,1
62,1
63,2
64,2
65,3
66,1
67,2
69,2
70,3
71,1
72,1
73,2
74,3
75,3
76,2
79,1
82,1
83,1
84,3
88,1
90,1
92,1
95,1
98,1
99,1
102,1
104,1
106,1
108,1
109,1
121,1
131,1
140,1
143,1
149,1
153,1
154,1
157,1
160,1
161,1
170,1
192,1
195,2
198,1
199,1
212,1
225,1
284,1
310,1
329,1
368,1
374,1
436,1
