blockgroup_id,total_pop,white_pop,black_pop,hispanic_pop,median_household_income,poverty_rate,total_arrests,unique_individuals,discretionary_arrests,discretionary_per_1000,total_per_1000,unique_per_1000,cumulative_pop,cumulative_pop_pct,policing_category
450190037001,623,106,490,0,40237.0,,985,208,527,845.9069020866774,1581.059390048154,333.86837881219907,623,0.150576929584137,Ultra-Policed
450190038001,908,109,746,11,51711.0,,1329,290,654,720.2643171806168,1463.6563876651983,319.38325991189424,1531,0.3700373662814024,Ultra-Policed
450190031104,192,86,63,0,67609.0,,347,121,117,609.375,1807.2916666666667,630.2083333333334,1723,0.4164430973891942,Ultra-Policed
450190043001,310,22,288,0,30250.0,,382,113,166,535.483870967742,1232.258064516129,364.51612903225805,2033,0.4913690174069831,Ultra-Policed
450190033004,1194,103,1043,40,,,1202,214,579,484.9246231155779,1006.7001675041876,179.2294807370184,3227,0.7799546577335634,Ultra-Policed
450190053002,708,346,239,10,53203.0,,632,250,315,444.91525423728814,892.6553672316384,353.1073446327684,3935,0.9510757911935458,Ultra-Policed
450190031112,506,32,423,51,50987.0,,410,111,224,442.6877470355731,810.2766798418972,219.36758893280634,4441,1.073374228383872,Ultra-Policed
450190043003,711,29,682,0,42545.0,,755,231,293,412.0956399437412,1061.8846694796061,324.89451476793244,5152,1.2452204513924137,Ultra-Policed
450190055001,753,234,422,19,,,774,241,289,383.7981407702523,1027.8884462151393,320.0531208499336,5905,1.4272179280807846,Ultra-Policed
450150201012,398,165,204,29,49594.0,,480,142,151,379.3969849246231,1206.0301507537688,356.78391959798995,6303,1.5234131415229781,Ultra-Policed
450150202011,1333,774,507,0,45766.0,,946,178,488,366.09152288072016,709.6774193548388,133.53338334583646,7636,1.8455945975994703,Ultra-Policed
450190031072,330,98,211,0,71905.0,,259,55,119,360.6060606060606,784.8484848484848,166.66666666666666,7966,1.9253544479409874,Ultra-Policed
450150207122,1888,1640,11,77,67925.0,,1069,190,666,352.7542372881356,566.207627118644,100.63559322033898,9854,2.3816774705009403,Ultra-Policed
450190054001,407,22,385,0,41071.0,,443,132,143,351.35135135135135,1088.4520884520884,324.3243243243243,10261,2.4800479525888113,Ultra-Policed
450190055002,768,161,607,0,38869.0,,668,175,267,347.65625,869.7916666666666,227.86458333333334,11029,2.665670877019979,Ultra-Policed
450190053003,673,38,610,9,11518.0,,612,199,228,338.7815750371471,909.3610698365527,295.69093610698366,11702,2.8283326324134364,Ultra-Policed
450190043002,351,34,299,0,44469.0,,421,129,117,333.3333333333333,1199.4301994301995,367.52136752136755,12053,2.913168109594868,Ultra-Policed
450150204051,1063,502,483,30,31736.0,,782,184,354,333.0197554092192,735.653809971778,173.09501411100658,13116,3.170091506301028,Ultra-Policed
450190033001,374,100,256,18,24943.0,,334,88,120,320.85561497326205,893.0481283422461,235.2941176470588,13490,3.260486003354748,Ultra-Policed
450190031063,2441,1018,839,248,38346.0,,1658,333,780,319.5411716509627,679.2298238426873,136.4195002048341,15931,3.8504671993657884,Ultra-Policed
450190034002,788,274,214,376,42276.0,,595,175,242,307.10659898477155,755.0761421319797,222.08121827411168,16719,4.040924054120684,Ultra-Policed
450190043004,826,137,689,17,31077.0,,658,188,248,300.2421307506053,796.6101694915254,227.60290556900725,17545,4.240565376490664,Ultra-Policed
450150207182,878,717,99,36,78229.0,,598,146,262,298.40546697038724,681.0933940774487,166.2870159453303,18423,4.452774917702336,Ultra-Policed
450190021031,589,282,263,29,58917.0,,515,132,166,281.83361629881153,874.3633276740238,224.10865874363327,19012,4.595134165736135,Ultra-Policed
450190033003,682,123,505,0,35513.0,,712,209,187,274.19354838709677,1043.9882697947214,306.4516129032258,19694,4.759971189775271,Ultra-Policed
450190040001,1467,66,1312,63,42125.0,,759,135,400,272.66530334015,517.3824130879345,92.02453987730061,21161,5.114539979020742,Ultra-Policed
450150208081,1215,725,369,45,73304.0,,931,253,323,265.8436213991769,766.2551440329219,208.23045267489712,22376,5.408201246187237,Ultra-Policed
