DefendantId,drug_count,drug_type,policing_category
00028cf09fae4c4bbf7a1d20,2,Distribution,Normally Policed
000493e02edd66f935d60f9d,1,Distribution,Normally Policed
0004b45e072940afb668cf5d,7,Distribution,Normally Policed
0006a349d1ccb858a082774b,1,Distribution,Normally Policed
0009c41ce4859481d01e73d1,6,Distribution,Highly Policed
0009d3218c47828388808030,3,Possession,Normally Policed
001d9abfb0b1944b35a069b4,1,Possession,Normally Policed
001f0b708846f09fccb1be3c,2,Possession,Normally Policed
0029146d54750fe57230ecff,1,Distribution,Highly Policed
002ec057c07a9b1b8823570a,1,Distribution,Highly Policed
00328cf7ed898dd0ffd356bb,1,Possession,Ultra-Policed
003307efa033729e585c1566,5,Possession,Normally Policed
00342e84644844dc10a7d75e,1,Distribution,Normally Policed
00367e0bff5b166cb8110a1b,1,Distribution,Highly Policed
003c40eafe3541365602fc64,1,Possession,Normally Policed
003c481d4e56232f2bf78057,2,Possession,Normally Policed
004102befac917eafb945eb3,2,Distribution,Normally Policed
004ced5521df240cc8b13f61,3,Distribution,Normally Policed
004d1d2d220bb59d42f4042b,4,Distribution,Highly Policed
00533fb1c44e72b00ec90884,6,Distribution,Normally Policed
005488bdb0ae81d57f02cfe6,1,Possession,Normally Policed
0054ede3d1423d90ea9e8e51,1,Possession,Normally Policed
0056f6ee9e1fa51c8b1752d9,2,Possession,Normally Policed
006001bf0e3e6792457464ca,2,Distribution,Normally Policed
0064dee6f8cbf80440f1e437,5,Possession,Highly Policed
006b8d50ad08f56a2a61fb5f,1,Possession,Ultra-Policed
006dbb5008a1e34100ed6939,2,Distribution,Highly Policed
00722f7e43c4d476713da7ba,2,Distribution,Normally Policed
0077149a9ea5f617f0be21da,2,Distribution,Highly Policed
007ac4200b49a365708b5c10,3,Distribution,Highly Policed
0080e033e52e1de7bd9ed9aa,4,Distribution,Normally Policed
008119521330c1cff1b5ab1e,2,Distribution,Highly Policed
00860205b7bdd8046614885b,1,Distribution,Normally Policed
00881a0de57f03ea6cfd9503,1,Possession,Highly Policed
008bcd9dbd2a9b2c6b3bff9a,2,Distribution,Highly Policed
008ca25fcabff8b32fa28eba,25,Distribution,Highly Policed
00a0e37e86677cd4c9766ee9,1,Distribution,Normally Policed
00a7c76bf2e1c4821a6bc1d4,2,Distribution,Highly Policed
00ae630a635003da7a08d254,1,Distribution,Highly Policed
00b207c358d4ef8c1a1a246e,1,Distribution,Normally Policed
00b21a0abfadc86468a94f58,4,Possession,Highly Policed
